cat,x,y
4,137.35,113.99
3,95.503,80.539
1,77.043,103.02
1,83.097,99.69
4,138.91,109.03
2,97.803,130.48
1,58.433,101.94
4,138.16,109.2
2,105.29,110.19
4,124.8,92.44
4,126.81,79.395
4,130.46,86.239
4,132.47,91.274
4,113.19,81.538
1,64.441,99.62
4,131.82,93.131
2,88.46,132.35
3,107.66,76.983
4,118.36,111.64
2,100.26,126.58
2,108.16,121.17
3,111.32,66.94
1,79.921,80.143
4,111.42,105.79
3,108.36,74.954
2,84.233,137.95
4,130.11,92.592
1,81.331,81.853
3,96.006,70.31
1,65.483,111.99
1,67.719,92.352
2,99.777,123.8
3,105.84,59.327
2,96.222,119.36
3,97.37,74.791
3,102.03,55.27
3,100.45,75.41
1,71.147,98.665
4,135.9,87.263
3,100.23,73.765
2,103.04,133.76
2,109.19,138.07
2,95.081,129.76
1,67.377,101.21
2,88.727,138.52
1,75.224,88.377
2,100.19,132.46
3,103.29,76.818
3,96.639,63.931
4,135.48,103.1
4,132.97,97.663
4,136.37,93.27
4,135.92,94.174
1,74.406,94.873
2,100.66,138.95
1,70.057,97.824
3,96.095,76.707
1,84.668,102.75
4,124.62,98.248
2,99.874,116.05
2,95.636,122.01
2,101.93,124.92
2,103.8,134.02
4,150.2,102.4
2,105.39,122.35
1,80.514,110.94
3,110.47,86.667
1,56.719,111.46
3,94.439,74.619
3,92.034,75.207
2,101.3,118.25
3,94.17,78.633
1,68.92,110.38
1,79.388,101.95
3,91.842,58.59
2,95.087,138.82
3,85.51,78.382
1,67.055,109.5
3,123.59,90.996
3,100.28,82.642
1,78.156,106.16
2,111.85,115.57
1,78.076,96.265
2,108.59,150
4,138.1,78.635
2,97.504,109.72
3,114.2,77.146
1,73.271,112.19
3,82.728,60.788
1,78.451,105.19
4,137.08,110.12
4,129.64,91.975
3,79.896,81.103
1,87.493,102.65
1,49.067,104.17
3,105.35,62.113
4,143.47,104.91
4,125.42,88.357
4,114.29,103.67
2,103.49,123.83
1,96.851,93.522
1,80.363,107.58
3,104.55,75.985
4,133.57,96.385
4,128.1,100.78
4,125.36,108.83
4,112.41,118.76
4,134.45,99.393
1,79.195,108.9
4,140.56,95.906
4,136.2,109.88
4,147.27,83.137
2,113.1,110.7
2,98.245,120.49
1,70.846,89.233
3,99.136,69.971
4,135.82,105.16
4,121.31,98.879
1,69.448,106.47
2,100.99,121.59
3,106.46,68.872
2,112.83,144.21
3,86.087,61.63
2,88.839,138.9
3,96.491,75.548
3,73.556,72.203
2,92.918,131.84
4,109.08,102.43
2,83.847,132.18
2,104.9,118.62
3,102.96,73.328
3,101.83,65.421
1,73.749,110.44
1,79.308,92.667
3,102.16,55.752
1,74.453,101.68
2,91.087,110.36
3,84.364,77.564
2,109.99,128.71
3,103.79,74.408
4,132.99,87.506
2,90.76,118.01
3,100.29,72.427
4,127.81,85.974
2,101.16,128.38
2,88.576,154.71
2,78.088,134.84
4,121.92,85.312
3,92.056,65.207
1,71.102,89.31
1,72.136,96.496
3,101.11,71.326
4,127.04,102.53
3,114.53,61.526
4,116.97,92.084
1,61.124,86.306
3,105.24,69.674
1,75.227,96.213
3,89.249,78.622
2,106.96,129.73
2,111.52,115.14
1,77.928,100.5
1,77.572,109.99
3,104.56,56.695
2,82.976,154.25
1,70.723,116.53
2,111.79,125.11
4,126.49,92.918
1,73.932,114.88
3,86.84,95.028
3,109.85,73.783
2,96.141,112.8
1,82.452,94.309
1,86.386,114.75
1,62.399,88.289
2,104.2,141.27
4,120.24,105.37
1,84.647,111.43
3,87.314,64.028
4,124.87,94.913
4,131.6,100.05
3,98.409,50.535
4,136.8,115.45
1,64.365,104.84
1,81.98,108.69
2,97.194,128.59
1,80.038,101.41
3,101.9,83.963
2,102.34,113.04
4,126.18,107.62
1,85.657,87.331
4,137.4,90.895
3,105.35,58.085
4,123.77,91.191
3,95.619,81.297
1,76.242,107.64
2,114.07,154.31
2,105.56,113.27
4,135.16,91.08
2,107.65,124.98
1,58.328,73.353
4,134.54,105.28
3,95.194,94.826
2,105.91,134.84
3,110.59,67.354
1,77.33,102.76
4,127.38,98.414
1,88.911,106.9
3,94.597,82.411
2,109.89,115.34
1,58.379,84.361
4,120.78,94.112
4,136.7,85.785
1,78.275,98.073
4,143.65,112.93
3,112.26,78.24
1,62.847,102.1
3,94.993,68.6
3,90.263,82.881
1,79.587,92.389
1,91.876,91.165
4,126.25,93.826
1,80.323,104.7
3,110.07,62.644
1,57.396,106.88
3,106.94,67.181
4,124.72,97.362
4,142.54,96.024
2,96.455,124.97
2,100.31,142.8
1,51.438,108.53
2,97.429,121.92
2,85.758,122.92
2,98.189,128.34
1,68.797,98.916
3,102.12,59.224
1,74.279,93.98
2,78.534,135.86
2,117.22,127.39
4,136.68,89.393
3,87.361,68.211
2,112.9,126.84
1,85.173,84.335
3,96.553,70.742
2,110.61,128.72
3,105.67,73.16
4,134.9,112.82
4,129.27,80.77
2,105.22,124.71
3,94.284,48.611
4,127.58,95.363
4,133.69,86.174
1,67.26,96.275
4,116.75,95.248
3,90.995,70.212
2,116.68,143.14
4,149.08,86.517
2,92.592,132.06
4,113.73,110.07
2,99.281,114.32
4,117.36,99.67
3,112.99,56.667
4,121.8,103.95
2,110.72,120.02
4,113.03,96.023
2,99.356,122.93
4,119.21,107.17
3,103.58,77.844
1,93.355,104.98
1,63.9,101.59
3,91.41,93.881
2,79.951,141.1
2,123.62,140.58
3,107.42,77.578
4,122.11,103.28
4,125.5,91.716
2,87.743,121.71
2,90.727,115.04
3,90.796,75.564
1,59.669,94.748
1,64.23,102.61
4,133.32,99.716
1,52.279,89.759
1,68.081,97.29
2,104.31,130.62
4,132.71,98.452
1,66.393,108.79
3,96.13,74.53
1,93.416,96.683
4,145.51,105.09
3,98.221,65.457
1,71.185,108.26
2,107.34,146.03
2,89.896,132.19
3,94.167,86.356
2,103.82,160.68
3,101.9,52.566
3,104.09,67.894
1,76.579,100.09
3,94.934,58.117
3,106.63,68.216
2,92.87,115.4
4,116.93,101.92
1,73.33,105.79
2,94.721,105.78
2,108.88,128.95
1,63.841,99.981
4,106.83,93.879
1,75.915,124.97
3,93.391,63.324
2,91.515,109.53
3,114.54,65.252
3,89.671,66.716
1,87.404,103.16
3,123.16,86.321
4,120.12,97.778
3,116.84,79.516
3,103.58,78.518
1,74.106,102.73
2,98.021,135.47
4,141.16,118.94
2,91.393,137.11
3,116.02,54.02
4,121.82,81.2
4,140.28,107.07
1,69.509,113.49
3,107.27,82.169
4,136.55,103.78
1,63.269,104.28
3,115.63,88.531
2,102.92,122.09
4,103.74,91.348
2,107.58,141.28
2,107.5,121.61
4,133.99,82.461
2,99.892,122.91
4,115.5,102.46
3,96.142,70.835
3,88.994,55.479
1,72.976,91.851
1,81.135,85.89
1,67.46,105.32
2,95.911,133.08
1,90.591,64.502
1,84.064,104.13
2,110.47,121.21
4,107.76,101.61
4,126.72,117.5
4,126.18,99.77
4,143.86,102.71
4,129.66,100.8
1,77.029,88.631
2,109.25,147.88
3,101.91,68.71
4,119.7,106.13
1,65.666,89.518
4,132.66,101.59
2,99.229,138.82
2,107.49,144.64
3,108.45,68.655
3,108.83,89.459
2,88.697,141.36
1,75.961,119.52
1,63.01,111.55
3,104.3,71.17
3,108.91,79.36
1,74.269,85.795
4,148.4,105.74
4,137.43,97.095
2,114.94,130.41
4,129.33,121.82
3,81.367,54.044
1,69.777,107.51
1,65.58,106.67
2,104.87,112.12
2,107.49,124.27
4,116.12,104.15
3,110.89,77.799
2,100.68,135.61
1,77.293,99.987
3,98.299,66.622
2,93.272,118.26
1,80.444,103.32
4,134.65,106.72
4,118,110.77
1,75.862,108.55
4,129.41,107.43
1,79.913,104.87
3,95.772,76.385
1,66.173,98.415
2,99.04,118.42
3,105.96,87.726
1,85.261,84.46
4,129.21,95.301
3,104.68,56.501
3,111.29,71.945
3,101.77,60.413
2,92.524,112.37
2,95.06,146.43
2,110.72,116.09
1,86.379,114.45
2,104.46,125.87
3,106.2,62.128
4,118.33,94.643
1,79.833,109.31
1,77.056,105.17
4,142.53,91.584
1,74.12,99.144
3,111.12,67.162
4,146.64,104.11
3,101.42,66.018
2,94.904,108.78
3,90.777,75.458
1,76.309,94.566
2,101.17,119.29
4,125.38,93.662
4,133.38,95.12
4,144.12,106.39
3,103.06,66.627
3,103.35,81.916
1,60.351,114.31
4,116.24,104.32
2,83.511,127.5
2,106.04,131.14
4,138.93,102.89
4,123.59,102.76
4,135.28,131.47
4,122.05,99.856
3,119.94,80.981
1,42.798,98.786
1,78.163,109.64
3,100.45,55.048
1,81.66,102.4
2,80.033,125.03
1,60.554,97.491
2,103.78,117.24
3,95.969,62.936
2,109,126.84
3,123.32,82.92
4,150.63,101.2
1,63.64,102.47
4,133.28,109.73
1,53.26,97.652
4,126.13,115.08
4,126.28,83.819
3,97.225,74.907
2,93.03,127.92
1,80.169,102.41
1,71.745,107.37
4,119.67,98.963
1,68.59,111.24
4,122.17,87.285
3,103.42,75.886
2,95.532,124.7
1,55.679,110.52
1,63.436,97.967
1,75.862,81.326
2,101.47,116.34
1,69.682,91.355
3,98.872,73.991
1,63.495,112.71
4,110.42,97.203
4,131.21,109.65
3,105.05,72.423
1,64.178,95.854
2,98.029,119
4,131.72,99.714
3,93.811,81.911
2,110.27,135.74
3,84.914,90.149
2,99.578,137.41
2,90.661,114.79
4,132.52,79.367
2,102.66,124.97
2,117.04,134.52
3,96.492,64.001
2,103.92,117.37
4,127.1,108.36
1,79.825,110.03
3,94.552,61.334
3,83.244,87.235
2,118.59,107.79
1,95.711,96.621
3,96.667,66.656
4,136.66,105.03
3,100.57,59.036
2,92.622,121.35
2,92.722,150.37
3,89.375,80.253
3,98.018,84.376
3,94.577,65.346
4,120.26,88.827
1,65.574,101.79
4,116.61,107.64
2,90.435,136.37
2,91.698,118.62
2,99.532,110.29
3,109.41,86.605
1,68.809,92.921
2,107.88,133.45
1,70.959,107.6
4,111.12,118.31
