"condition" "subject" "block" "acc_mean" "rt_mean"
1 2 1 0.48 1.181908
1 3 1 0.48 1.405996
1 5 1 0.32 2.352444
1 6 1 0.28 2.970088
1 7 1 0.2 1.663056
1 9 1 0.32 1.205172
1 10 1 0.2 1.802984
1 11 1 0.44 1.265112
1 12 1 0.4 1.381376
1 13 1 0.4 2.068592
1 15 1 0.4 1.160724
1 16 1 0.28 1.030132
1 18 1 0.2 1.131992
1 19 1 0.4 1.9967
1 20 1 0.72 1.742824
1 21 1 0.56 1.310704
1 23 1 0.36 1.019432
1 24 1 0.24 1.2892
1 26 1 0.24 1.237728
1 27 1 0.44 1.934488
1 28 1 0.24 1.012404
1 29 1 0.2 2.512052
1 30 1 0.44 1.446652
1 2 2 0.68 1.201396
1 3 2 0.32 0.921972
1 5 2 0.48 1.999088
1 6 2 0.56 1.651852
1 7 2 0.16 1.007976
1 9 2 0.44 1.268088
1 10 2 0.36 1.403716
1 11 2 0.52 1.677396
1 12 2 0.32 1.060428
1 13 2 0.32 1.562304
1 15 2 0.6 1.054412
1 16 2 0.56 1.073876
1 18 2 0.28 0.84624
1 19 2 0.56 2.884596
1 20 2 0.56 1.137824
1 21 2 0.56 1.08454
1 23 2 0.48 1.046944
1 24 2 0.44 0.985084
1 26 2 0.4 0.821592
1 27 2 0.44 1.617608
1 28 2 0.52 1.011104
1 29 2 0.28 1.89862
1 30 2 0.68 1.0046
1 2 3 0.48 1.168736
1 3 3 0.56 1.106344
1 5 3 0.72 1.182272
1 6 3 0.56 1.860488
1 7 3 0.52 1.107904
1 9 3 0.68 1.222068
1 10 3 0.2 2.25436
1 11 3 0.28 1.349664
1 12 3 0.24 0.779144
1 13 3 0.32 1.241308
1 15 3 0.64 1.070036
1 16 3 0.64 0.848064
1 18 3 0.24 1.001264
1 19 3 0.52 1.442168
1 20 3 0.44 1.229308
1 21 3 0.76 0.952448
1 23 3 0.6 0.89174
1 24 3 0.24 1.181588
1 26 3 0.64 1.396812
1 27 3 0.64 1.457572
1 28 3 0.84 1.000544
1 29 3 0.24 2.094684
1 30 3 0.84 0.945008
1 2 4 0.48 1.196996
1 3 4 0.36 0.930076
1 5 4 0.68 1.834756
1 6 4 0.44 1.595884
1 7 4 0.4 0.952996
1 9 4 0.6 1.4764
1 10 4 0.28 2.326924
1 11 4 0.56 1.07964
1 12 4 0.48 1.74112
1 13 4 0.32 1.20362
1 15 4 0.64 1.122608
1 16 4 0.8 0.776264
1 18 4 0.6 0.898128
1 19 4 0.52 1.631264
1 20 4 0.56 1.155144
1 21 4 0.68 0.89966
1 23 4 0.4 0.830932
1 24 4 0.56 1.272164
1 26 4 0.56 1.561944
1 27 4 0.72 1.13392
1 28 4 0.72 1.026156
1 29 4 0.4 3.052784
1 30 4 0.68 1.114248
1 2 5 0.68 1.185124
1 3 5 0.4 0.911292
1 5 5 0.48 1.287536
1 6 5 0.68 1.969656
1 7 5 0.32 1.069744
1 9 5 0.64 1.494076
1 10 5 0.44 1.464412
1 11 5 0.6 1.296324
1 12 5 0.68 1.801736
1 13 5 0.76 1.840296
1 15 5 0.8 1.35222
1 16 5 0.72 1.062084
1 18 5 0.56 0.766464
1 19 5 0.6 1.9401
1 20 5 0.52 0.890604
1 21 5 0.72 1.244688
1 23 5 0.6 1.067172
1 24 5 0.48 1.104168
1 26 5 0.6 1.140864
1 27 5 0.44 2.84324
1 28 5 0.92 1.218524
1 29 5 0.84 2.176172
1 30 5 0.64 1.208032
1 2 6 0.44 1.062048
1 3 6 0.36 0.93134
1 5 6 0.8 1.484976
1 6 6 0.52 2.63414
1 7 6 0.36 1.158548
1 9 6 0.48 1.197124
1 10 6 0.44 1.639396
1 11 6 0.6 1.239228
1 12 6 0.72 1.890752
1 13 6 0.76 1.030856
1 15 6 0.68 0.886952
1 16 6 0.68 1.184832
1 18 6 0.72 0.870048
1 19 6 0.52 1.940976
1 20 6 0.44 0.969144
1 21 6 0.72 1.067156
1 23 6 0.92 1.066552
1 24 6 0.48 1.161276
1 26 6 0.52 1.103104
1 27 6 0.76 1.116396
1 28 6 0.56 1.397516
1 29 6 0.52 3.573068
1 30 6 0.84 1.018808
1 2 7 0.72 1.328256
1 3 7 0.64 0.976992
1 5 7 0.84 1.21996
1 6 7 0.48 0.962276
1 7 7 0.36 1.100148
1 9 7 0.56 1.37612
1 10 7 0.36 1.749484
1 11 7 0.48 1.19856
1 12 7 0.72 1.530464
1 13 7 0.76 1.196308
1 15 7 0.52 0.936972
1 16 7 0.76 0.85094
1 18 7 0.56 0.733104
1 19 7 0.56 1.011016
1 20 7 0.6 1.025876
1 21 7 0.84 1.091636
1 23 7 0.92 1.148104
1 24 7 0.32 1.296468
1 26 7 0.4 1.018448
1 27 7 0.56 1.354124
1 28 7 0.92 1.192484
1 29 7 0.56 4.552136
1 30 7 0.72 1.19966
1 2 8 0.44 1.161368
1 3 8 0.48 1.021936
1 5 8 0.84 1.120444
1 6 8 0.52 1.534724
1 7 8 0.36 1.425852
1 9 8 0.4 1.481508
1 10 8 0.2 2.348764
1 11 8 0.76 1.087116
1 12 8 0.72 1.950148
1 13 8 0.72 1.492492
1 15 8 0.64 1.175756
1 16 8 0.64 1.020416
1 18 8 0.68 1.1242
1 19 8 0.52 1.01
1 20 8 0.64 1.207196
1 21 8 0.92 1.180012
1 23 8 0.76 1.03374
1 24 8 0.28 1.103564
1 26 8 0.48 1.673044
1 27 8 0.8 1.30696
1 28 8 0.92 0.904472
1 29 8 0.6 5.76838
1 30 8 0.64 1.393568
1 2 9 0.76 1.208864
1 3 9 0.56 1.071308
1 5 9 0.84 1.383596
1 6 9 0.48 3.393984
1 7 9 0.48 1.02576
1 9 9 0.6 1.937588
