"acc" "trial" "block"
0.173913 1 1
0.304348 2 1
0.478261 3 1
0.217391 4 1
0.434783 5 1
0.217391 6 1
0.391304 7 1
0.347826 8 1
0.347826 9 1
0.304348 10 1
0.26087 11 1
0.565217 12 1
0.217391 13 1
0.391304 14 1
0.347826 15 1
0.304348 16 1
0.391304 17 1
0.391304 18 1
0.304348 19 1
0.478261 20 1
0.434783 21 1
0.478261 22 1
0.521739 23 1
0.478261 24 1
0.478261 25 1
0.347826 26 2
0.391304 27 2
0.521739 28 2
0.434783 29 2
0.521739 30 2
0.434783 31 2
0.565217 32 2
0.391304 33 2
0.304348 34 2
0.478261 35 2
0.391304 36 2
0.434783 37 2
0.391304 38 2
0.304348 39 2
0.521739 40 2
0.347826 41 2
0.434783 42 2
0.608696 43 2
0.521739 44 2
0.521739 45 2
0.521739 46 2
0.434783 47 2
0.478261 48 2
0.565217 49 2
0.391304 50 2
0.217391 51 3
0.347826 52 3
0.565217 53 3
0.652174 54 3
0.565217 55 3
0.478261 56 3
0.304348 57 3
0.565217 58 3
0.521739 59 3
0.434783 60 3
0.521739 61 3
0.434783 62 3
0.434783 63 3
0.434783 64 3
0.565217 65 3
0.608696 66 3
0.695652 67 3
0.521739 68 3
0.695652 69 3
0.652174 70 3
0.478261 71 3
0.608696 72 3
0.478261 73 3
0.565217 74 3
0.652174 75 3
0.391304 76 4
0.73913 77 4
0.434783 78 4
0.565217 79 4
0.782609 80 4
0.434783 81 4
0.73913 82 4
0.73913 83 4
0.565217 84 4
0.695652 85 4
0.434783 86 4
0.521739 87 4
0.652174 88 4
0.608696 89 4
0.434783 90 4
0.565217 91 4
0.521739 92 4
0.695652 93 4
0.478261 94 4
0.73913 95 4
0.73913 96 4
0.608696 97 4
0.565217 98 4
0.478261 99 4
0.565217 100 4
0.521739 101 5
0.347826 102 5
0.608696 103 5
0.695652 104 5
0.478261 105 5
0.565217 106 5
0.565217 107 5
0.608696 108 5
0.608696 109 5
0.608696 110 5
0.695652 111 5
0.608696 112 5
0.652174 113 5
0.695652 114 5
0.565217 115 5
0.652174 116 5
0.782609 117 5
0.608696 118 5
0.521739 119 5
0.73913 120 5
0.608696 121 5
0.826087 122 5
0.565217 123 5
0.652174 124 5
0.565217 125 5
0.695652 126 6
0.521739 127 6
0.782609 128 6
0.608696 129 6
0.521739 130 6
0.565217 131 6
0.73913 132 6
0.73913 133 6
0.652174 134 6
0.652174 135 6
0.652174 136 6
0.73913 137 6
0.695652 138 6
0.521739 139 6
0.652174 140 6
0.73913 141 6
0.608696 142 6
0.434783 143 6
0.565217 144 6
0.73913 145 6
0.869565 146 6
0.565217 147 6
0.391304 148 6
0.695652 149 6
0.521739 150 6
0.73913 151 7
0.695652 152 7
0.608696 153 7
0.652174 154 7
0.565217 155 7
0.565217 156 7
0.434783 157 7
0.608696 158 7
0.608696 159 7
0.478261 160 7
0.565217 161 7
0.652174 162 7
0.652174 163 7
0.565217 164 7
0.826087 165 7
0.565217 166 7
0.565217 167 7
0.695652 168 7
0.73913 169 7
0.608696 170 7
0.652174 171 7
0.695652 172 7
0.652174 173 7
0.695652 174 7
0.521739 175 7
0.608696 176 8
0.695652 177 8
0.565217 178 8
0.608696 179 8
0.695652 180 8
0.521739 181 8
0.73913 182 8
0.608696 183 8
0.695652 184 8
0.565217 185 8
0.521739 186 8
0.695652 187 8
0.608696 188 8
0.826087 189 8
0.652174 190 8
0.608696 191 8
0.608696 192 8
0.782609 193 8
0.782609 194 8
0.608696 195 8
0.782609 196 8
0.521739 197 8
0.608696 198 8
0.521739 199 8
0.652174 200 8
0.565217 201 9
0.608696 202 9
0.73913 203 9
0.73913 204 9
0.695652 205 9
0.565217 206 9
0.608696 207 9
0.826087 208 9
0.695652 209 9
0.608696 210 9
0.608696 211 9
0.956522 212 9
0.608696 213 9
0.782609 214 9
0.695652 215 9
0.565217 216 9
0.652174 217 9
0.695652 218 9
0.652174 219 9
0.652174 220 9
0.521739 221 9
0.608696 222 9
0.695652 223 9
0.782609 224 9
0.782609 225 9
0.652174 226 10
0.826087 227 10
0.608696 228 10
0.73913 229 10
0.608696 230 10
0.608696 231 10
0.695652 232 10
0.652174 233 10
0.652174 234 10
0.73913 235 10
0.695652 236 10
0.782609 237 10
0.695652 238 10
0.695652 239 10
0.608696 240 10
0.608696 241 10
0.652174 242 10
0.695652 243 10
0.826087 244 10
0.826087 245 10
0.869565 246 10
0.73913 247 10
0.478261 248 10
0.652174 249 10
0.652174 250 10
0.869565 251 11
0.782609 252 11
0.521739 253 11
0.652174 254 11
0.652174 255 11
0.565217 256 11
0.478261 257 11
0.73913 258 11
0.565217 259 11
0.652174 260 11
0.695652 261 11
0.521739 262 11
0.826087 263 11
0.73913 264 11
0.565217 265 11
0.695652 266 11
0.826087 267 11
0.73913 268 11
0.695652 269 11
0.565217 270 11
0.782609 271 11
0.695652 272 11
0.73913 273 11
0.652174 274 11
0.73913 275 11
0.608696 276 12
0.695652 277 12
0.826087 278 12
0.913043 279 12
0.782609 280 12
0.695652 281 12
0.652174 282 12
0.565217 283 12
0.565217 284 12
0.608696 285 12
0.652174 286 12
0.782609 287 12
0.565217 288 12
0.826087 289 12
0.565217 290 12
0.652174 291 12
0.565217 292 12
0.608696 293 12
0.73913 294 12
0.608696 295 12
0.782609 296 12
0.565217 297 12
0.73913 298 12
0.652174 299 12
0.73913 300 12
0.565217 301 13
0.73913 302 13
0.695652 303 13
0.695652 304 13
0.652174 305 13
0.608696 306 13
0.782609 307 13
0.652174 308 13
0.565217 309 13
0.608696 310 13
0.608696 311 13
0.652174 312 13
0.608696 313 13
0.565217 314 13
0.434783 315 13
0.608696 316 13
0.73913 317 13
0.652174 318 13
0.521739 319 13
0.521739 320 13
0.652174 321 13
0.434783 322 13
0.608696 323 13
0.521739 324 13
0.608696 325 13
0.304348 326 14
0.521739 327 14
0.26087 328 14
0.521739 329 14
0.478261 330 14
0.434783 331 14
0.304348 332 14
0.434783 333 14
0.391304 334 14
0.391304 335 14
0.347826 336 14
0.304348 337 14
0.347826 338 14
0.347826 339 14
0.304348 340 14
0.478261 341 14
0.304348 342 14
0.478261 343 14
0.695652 344 14
0.565217 345 14
0.521739 346 14
0.347826 347 14
0.478261 348 14
0.347826 349 14
0.26087 350 14
0.521739 351 15
0.434783 352 15
0.304348 353 15
0.391304 354 15
0.478261 355 15
0.304348 356 15
0.347826 357 15
0.304348 358 15
0.521739 359 15
0.304348 360 15
0.347826 361 15
0.391304 362 15
0.434783 363 15
0.391304 364 15
0.347826 365 15
0.347826 366 15
0.347826 367 15
0.391304 368 15
0.391304 369 15
0.391304 370 15
0.391304 371 15
0.434783 372 15
0.434783 373 15
0.217391 374 15
0.217391 375 15
0.304348 376 16
0.26087 377 16
0.347826 378 16
0.347826 379 16
0.304348 380 16
0.347826 381 16
0.217391 382 16
0.391304 383 16
0.347826 384 16
0.434783 385 16
0.26087 386 16
0.347826 387 16
0.434783 388 16
0.434783 389 16
0.304348 390 16
0.391304 391 16
0.478261 392 16
0.26087 393 16
0.434783 394 16
0.434783 395 16
0.434783 396 16
0.434783 397 16
0.521739 398 16
0.217391 399 16
0.391304 400 16
0.304348 401 17
0.434783 402 17
0.521739 403 17
0.26087 404 17
0.565217 405 17
0.304348 406 17
0.521739 407 17
0.565217 408 17
0.478261 409 17
0.391304 410 17
0.434783 411 17
0.478261 412 17
0.478261 413 17
0.391304 414 17
0.347826 415 17
0.434783 416 17
0.26087 417 17
0.434783 418 17
0.434783 419 17
0.391304 420 17
0.347826 421 17
0.347826 422 17
0.478261 423 17
0.434783 424 17
0.478261 425 17
0.521739 426 18
0.434783 427 18
0.391304 428 18
0.304348 429 18
0.478261 430 18
0.478261 431 18
0.347826 432 18
0.434783 433 18
0.304348 434 18
0.304348 435 18
0.608696 436 18
0.26087 437 18
0.217391 438 18
0.347826 439 18
0.391304 440 18
0.391304 441 18
0.347826 442 18
0.652174 443 18
0.478261 444 18
0.478261 445 18
0.478261 446 18
0.347826 447 18
0.391304 448 18
0.304348 449 18
0.26087 450 18
0.434783 451 19
0.391304 452 19
0.478261 453 19
0.478261 454 19
0.478261 455 19
0.26087 456 19
0.347826 457 19
0.304348 458 19
0.608696 459 19
0.478261 460 19
0.347826 461 19
