"acc" "block"
0.178571 1
0.107143 1
0.285714 1
0.25 1
0.285714 1
0.392857 1
0.392857 1
0.357143 1
0.25 1
0.428571 1
0.571429 1
0.357143 1
0.357143 1
0.571429 1
0.428571 1
0.5 1
0.428571 1
0.321429 1
0.464286 1
0.321429 1
0.5 1
0.321429 1
0.535714 1
0.428571 1
0.428571 1
0.464286 2
0.607143 2
0.464286 2
0.464286 2
0.642857 2
0.607143 2
0.392857 2
0.357143 2
0.607143 2
0.535714 2
0.464286 2
0.428571 2
0.392857 2
0.535714 2
0.607143 2
0.642857 2
0.178571 2
0.428571 2
0.571429 2
0.607143 2
0.607143 2
0.392857 2
0.5 2
0.571429 2
0.5 2
0.678571 3
0.642857 3
0.535714 3
0.642857 3
0.571429 3
0.607143 3
0.607143 3
0.428571 3
0.714286 3
0.607143 3
0.535714 3
0.5 3
0.535714 3
0.607143 3
0.5 3
0.642857 3
0.607143 3
0.607143 3
0.571429 3
0.321429 3
0.535714 3
0.535714 3
0.535714 3
0.464286 3
0.607143 3
0.535714 4
0.428571 4
0.571429 4
0.5 4
0.607143 4
0.607143 4
0.392857 4
0.714286 4
0.642857 4
0.535714 4
0.571429 4
0.678571 4
0.714286 4
0.642857 4
0.5 4
0.642857 4
0.571429 4
0.571429 4
0.5 4
0.785714 4
0.5 4
0.607143 4
0.571429 4
0.642857 4
0.714286 4
0.607143 5
0.607143 5
0.642857 5
0.535714 5
0.428571 5
0.392857 5
0.607143 5
0.678571 5
0.678571 5
0.607143 5
0.75 5
0.571429 5
0.5 5
0.857143 5
0.607143 5
0.392857 5
0.571429 5
0.571429 5
0.642857 5
0.714286 5
0.571429 5
0.678571 5
0.607143 5
0.428571 5
0.535714 5
0.678571 6
0.75 6
0.535714 6
0.571429 6
0.5 6
0.5 6
0.678571 6
0.571429 6
0.607143 6
0.607143 6
0.571429 6
0.571429 6
0.571429 6
0.428571 6
0.678571 6
0.571429 6
0.75 6
0.785714 6
0.607143 6
0.678571 6
0.678571 6
0.785714 6
0.678571 6
0.607143 6
0.75 6
0.5 7
0.607143 7
0.571429 7
0.714286 7
0.535714 7
0.607143 7
0.571429 7
0.571429 7
0.571429 7
0.678571 7
0.678571 7
0.714286 7
0.607143 7
0.607143 7
0.607143 7
0.535714 7
0.5 7
0.678571 7
0.5 7
0.5 7
0.642857 7
0.5 7
0.571429 7
0.535714 7
0.785714 7
0.678571 8
0.607143 8
0.607143 8
0.714286 8
0.5 8
0.642857 8
0.571429 8
0.75 8
0.5 8
0.607143 8
0.535714 8
0.75 8
0.642857 8
0.714286 8
0.678571 8
0.571429 8
0.678571 8
0.75 8
0.678571 8
0.714286 8
0.607143 8
0.642857 8
0.5 8
0.75 8
0.678571 8
0.714286 9
0.607143 9
0.642857 9
0.714286 9
0.857143 9
0.642857 9
0.642857 9
0.75 9
0.714286 9
0.678571 9
0.5 9
0.607143 9
0.5 9
0.642857 9
0.75 9
0.642857 9
0.678571 9
0.714286 9
0.642857 9
0.607143 9
0.714286 9
0.714286 9
0.535714 9
0.785714 9
0.75 9
0.571429 10
0.607143 10
0.714286 10
0.607143 10
0.571429 10
0.714286 10
0.571429 10
0.607143 10
0.642857 10
0.678571 10
0.607143 10
0.678571 10
0.857143 10
0.678571 10
0.642857 10
0.714286 10
0.535714 10
0.714286 10
0.607143 10
0.642857 10
0.714286 10
0.642857 10
0.714286 10
0.678571 10
0.785714 10
0.714286 11
0.714286 11
0.785714 11
0.607143 11
0.714286 11
0.642857 11
0.714286 11
0.714286 11
0.714286 11
0.75 11
0.821429 11
0.607143 11
0.714286 11
0.714286 11
0.607143 11
0.821429 11
0.571429 11
0.642857 11
0.714286 11
0.464286 11
0.821429 11
0.5 11
0.678571 11
0.857143 11
0.821429 11
0.75 12
0.5 12
0.607143 12
0.607143 12
0.642857 12
0.678571 12
0.5 12
0.785714 12
0.678571 12
0.785714 12
0.785714 12
0.678571 12
0.642857 12
0.535714 12
0.678571 12
0.678571 12
0.642857 12
0.785714 12
0.714286 12
0.785714 12
0.535714 12
0.678571 12
0.607143 12
0.535714 12
0.678571 12
0.5 13
0.5 13
0.464286 13
0.5 13
0.5 13
0.5 13
0.571429 13
0.464286 13
0.571429 13
0.428571 13
0.571429 13
0.392857 13
0.464286 13
0.464286 13
0.571429 13
0.464286 13
0.357143 13
0.607143 13
0.464286 13
0.357143 13
0.392857 13
0.321429 13
0.428571 13
0.357143 13
0.642857 13
0.428571 14
0.642857 14
0.464286 14
0.535714 14
0.285714 14
0.285714 14
0.428571 14
0.285714 14
0.535714 14
0.392857 14
0.357143 14
0.428571 14
0.464286 14
0.464286 14
0.214286 14
0.392857 14
0.535714 14
0.428571 14
0.357143 14
0.428571 14
0.392857 14
0.428571 14
0.357143 14
0.357143 14
0.321429 14
0.214286 15
0.535714 15
0.321429 15
0.321429 15
0.357143 15
0.321429 15
0.392857 15
0.535714 15
0.285714 15
0.321429 15
0.392857 15
0.357143 15
0.357143 15
0.321429 15
0.464286 15
0.25 15
0.392857 15
0.428571 15
0.285714 15
0.392857 15
0.321429 15
0.392857 15
0.392857 15
0.321429 15
0.428571 15
0.214286 16
0.5 16
0.5 16
0.392857 16
0.321429 16
0.428571 16
0.535714 16
0.464286 16
0.357143 16
0.357143 16
0.535714 16
0.357143 16
0.392857 16
0.464286 16
0.285714 16
0.428571 16
0.321429 16
0.357143 16
0.464286 16
0.464286 16
0.428571 16
0.392857 16
0.428571 16
0.321429 16
0.464286 16
0.392857 17
0.357143 17
0.428571 17
0.5 17
0.464286 17
0.285714 17
0.321429 17
0.5 17
0.357143 17
0.285714 17
0.25 17
0.428571 17
0.321429 17
0.25 17
0.321429 17
0.428571 17
0.392857 17
0.285714 17
0.392857 17
0.428571 17
0.392857 17
0.428571 17
0.321429 17
0.392857 17
0.392857 17
0.321429 18
0.428571 18
0.321429 18
0.392857 18
0.285714 18
0.321429 18
0.392857 18
0.357143 18
0.392857 18
0.464286 18
0.392857 18
0.464286 18
0.392857 18
0.285714 18
0.464286 18
0.464286 18
0.464286 18
0.464286 18
0.464286 18
0.5 18
0.428571 18
0.285714 18
0.428571 18
0.285714 18
0.285714 18
0.464286 19
0.285714 19
0.464286 19
0.464286 19
0.428571 19
0.428571 19
0.25 19
0.464286 19
0.607143 19
0.428571 19
0.214286 19
0.571429 19
0.357143 19
0.607143 19
0.535714 19
0.25 19
0.607143 19
0.357143 19
0.535714 19
0.5 19
0.392857 19
0.321429 19
0.357143 19
0.357143 19
0.464286 19
0.285714 20
0.321429 20
0.571429 20
0.571429 20
0.464286 20
0.464286 20
0.392857 20
0.321429 20
0.428571 20
0.357143 20
0.214286 20
0.464286 20
0.392857 20
0.321429 20
0.321429 20
0.392857 20
0.357143 20
0.428571 20
0.357143 20
0.5 20
0.357143 20
0.428571 20
0.321429 20
0.5 20
0.392857 20
0.392857 21
0.392857 21
0.285714 21
0.285714 21
0.321429 21
0.321429 21
0.428571 21
0.357143 21
0.357143 21
0.607143 21
0.428571 21
0.321429 21
0.285714 21
0.428571 21
0.428571 21
0.5 21
0.5 21
0.321429 21
0.321429 21
0.321429 21
0.5 21
0.5 21
0.392857 21
0.321429 21
0.285714 21
0.428571 22
0.464286 22
0.571429 22
0.392857 22
0.464286 22
0.464286 22
0.357143 22
0.571429 22
0.535714 22
0.25 22
0.321429 22
0.321429 22
0.5 22
0.392857 22
0.428571 22
0.5 22
0.357143 22
0.535714 22
0.464286 22
0.464286 22
0.535714 22
0.5 22
0.357143 22
0.428571 22
0.321429 22
0.535714 23
0.285714 23
0.357143 23
0.392857 23
0.392857 23
0.535714 23
0.5 23
0.464286 23
0.321429 23
0.321429 23
0.428571 23
0.285714 23
0.392857 23
0.285714 23
0.357143 23
0.321429 23
0.357143 23
0.428571 23
0.321429 23
0.357143 23
0.357143 23
0.321429 23
0.357143 23
0.392857 23
0.25 23
0.321429 24
0.535714 24
0.357143 24
0.5 24
0.357143 24
0.428571 24
0.428571 24
0.25 24
0.285714 24
0.464286 24
0.285714 24
0.428571 24
0.285714 24
0.5 24
0.5 24
0.321429 24
0.285714 24
0.357143 24
0.321429 24
0.321429 24
0.464286 24
0.214286 24
0.357143 24
0.214286 24
0.214286 24
0.25 25
0.392857 25
0.357143 25
0.428571 25
0.321429 25
0.428571 25
0.571429 25
0.464286 25
0.571429 25
0.535714 25
0.571429 25
0.821429 25
0.571429 25
0.5 25
0.464286 25
0.357143 25
0.5 25
0.535714 25
0.5 25
0.428571 25
0.5 25
0.571429 25
0.607143 25
0.607143 25
0.642857 25
0.464286 26
0.428571 26
0.535714 26
0.535714 26
0.535714 26
0.571429 26
0.464286 26
0.607143 26
0.571429 26
0.642857 26
0.571429 26
0.607143 26
0.5 26
0.428571 26
0.5 26
0.357143 26
0.607143 26
0.607143 26
0.607143 26
0.5 26
0.535714 26
0.821429 26
0.714286 26
0.5 26
0.535714 26
0.5 27
0.5 27
0.535714 27
0.428571 27
0.464286 27
0.428571 27
0.428571 27
0.535714 27
0.571429 27
0.571429 27
0.464286 27
0.571429 27
0.392857 27
0.535714 27
0.5 27
0.392857 27
0.678571 27
0.607143 27
0.535714 27
0.607143 27
0.392857 27
0.678571 27
0.535714 27
0.607143 27
0.535714 27
0.607143 28
0.678571 28
0.5 28
0.607143 28
0.678571 28
0.678571 28
0.428571 28
0.464286 28
0.607143 28
0.607143 28
0.535714 28
0.571429 28
0.5 28
0.678571 28
0.678571 28
0.571429 28
0.75 28
0.678571 28
0.714286 28
0.642857 28
0.821429 28
0.571429 28
0.5 28
0.607143 28
0.678571 28
0.571429 29
0.642857 29
0.571429 29
0.642857 29
0.535714 29
0.5 29
0.678571 29
0.571429 29
0.535714 29
0.607143 29
0.607143 29
0.607143 29
0.607143 29
0.464286 29
0.535714 29
0.5 29
0.5 29
0.5 29
0.642857 29
0.642857 29
0.642857 29
0.571429 29
0.678571 29
0.5 29
0.5 29
0.642857 30
0.607143 30
0.642857 30
0.535714 30
0.5 30
0.5 30
0.678571 30
0.714286 30
0.642857 30
0.464286 30
0.5 30
0.535714 30
0.5 30
0.571429 30
0.642857 30
0.642857 30
0.464286 30
0.607143 30
0.571429 30
0.714286 30
0.5 30
0.357143 30
0.607143 30
0.535714 30
0.464286 30
0.535714 31
0.428571 31
0.607143 31
0.75 31
0.464286 31
0.642857 31
0.571429 31
0.464286 31
0.607143 31
0.678571 31
0.642857 31
0.428571 31
0.642857 31
0.464286 31
0.607143 31
0.285714 31
0.5 31
0.535714 31
0.642857 31
0.571429 31
0.535714 31
0.535714 31
0.642857 31
0.642857 31
0.607143 31
0.571429 32
0.535714 32
0.464286 32
0.607143 32
0.535714 32
0.607143 32
0.571429 32
0.678571 32
0.571429 32
0.535714 32
0.714286 32
0.607143 32
0.464286 32
0.607143 32
0.535714 32
0.678571 32
0.678571 32
0.535714 32
0.571429 32
0.642857 32
0.607143 32
0.5 32
0.571429 32
0.5 32
0.714286 32
0.607143 33
0.535714 33
